,sector,mcap,EP,FCP,EP_sn,FCP_sn,EP_use,FCP_use,ShYield,GPA,AssetGrowth,Accruals,EP_z,FCP_z,ShYield_z,GPA_z,Accruals_z,AssetGrowth_z,Value,Quality,Stability,Score2,beta_spy,downside_dev,max_dd_monthly,ret_5y,vol_5y,dd_5y
ETN,Industrials,,0.026379860047135387,,-0.015157458220843006,,-0.015157458220843006,,,0.25218330896841035,0.028592468449252176,-0.018875,-0.8628153924920359,,,-0.10914971493816729,0.014907059835664711,-0.31583202554126966,-0.8628153924920359,-0.12405677477383201,0.31583202554126966,-0.33158246179809325,1.164153827054891,0.21789782048605694,-0.27327902561739925,2.3490913811592917,0.2561536210040153,-0.27327902561739925
ETR,Utilities,,0.05689885647789665,,0.015361538209918257,,0.015361538209918257,,,0.09137650539365992,0.08948820096874602,-0.0257,0.7628913086627247,,,-0.31646865121373635,0.2054703095872274,0.8395744001583318,0.7628913086627247,-0.5219389608009637,-0.8395744001583318,-0.07153394088696194,0.5746124695802137,0.19109307507978435,-0.30990079592515685,1.1331607008027853,0.21815858032109997,-0.1918783188035761
EVRG,Utilities,,0.025929356991085332,,-0.01560796127689306,,-0.01560796127689306,,,0.09432815306135814,0.03393861330149854,-0.03345,-1.3696559800986265,,,-0.1921868100996165,-0.9502925512372682,-1.0972407028066955,-1.3696559800986265,0.7581057411376517,1.0972407028066955,-0.025171955023050807,0.5108756266100021,0.18684070240273792,-0.27765514261363555,0.6512043176461049,0.1840717328507745,-0.26128457468028266
EW,Healthcare,,0.02961985871301748,,-0.011917459554960912,,-0.011917459554960912,,,0.34139424220794673,0.3356074183359243,-0.015375,-0.30580805339175776,,,0.07447665330996617,0.5377782833302629,2.5769570465507083,-0.30580805339175776,-0.46330163002029673,-2.5769570465507083,-0.8230352826749635,0.9668689559901085,0.31644482498406085,-0.5133153396231813,-0.005960186001166212,0.3022196668233405,-0.5133153396231815
EXC,Utilities,,0.0569140889873708,,0.015376770719392405,,0.015376770719392405,,,0.09150143273070417,0.0574048880728359,-0.020925,0.7639303887238249,,,-0.311227603720019,0.9094404460413532,-0.29910643687119476,0.7639303887238249,-1.2206680497613722,0.29910643687119476,-0.12287377704077998,0.4323334165492172,0.1741787441760788,-0.2607637681715228,0.8667291494811951,0.18862632258672976,-0.25432737169177877
EXE,Energy,,-0.011916407615526816,,-0.05345372588350521,,-0.05345372588350521,,,0.1210046603703551,0.9951456040739053,-0.078975,-2.3818995036522197,,,-0.6377533577131693,-1.9896520167575573,2.606571803735193,-2.3818995036522197,1.351898659044388,-2.606571803735193,-0.9333146985901714,0.4480820357660192,0.23638710095076781,-0.2538787560265572,2.1852264218018442,0.2896073375729064,-0.2538787560265572
EXPD,Industrials,,0.04489558559866908,,0.0033582673306906882,,0.0033582673306906882,,,0.3014293957635989,-0.00038844351310819345,-0.0037,0.3469783585516305,,,0.43310232069078125,1.5938019097086695,-0.6952222121303795,0.3469783585516305,-1.1606995890178884,0.6952222121303795,-0.1864440497604272,0.94978838946658,0.21746360205716048,-0.3383872018943288,0.6197752377365804,0.25739497005398043,-0.3383872018943289
EXPE,Consumer Cyclical,,0.031210067763794768,,-0.010327250504183625,,-0.010327250504183625,,,0.5081156518309518,0.041825976132545475,-0.0388,-0.7312611262516362,,,0.8441222462732361,-1.4974051684505925,-0.41023127333689025,-0.7312611262516362,2.3415274147238287,0.41023127333689025,0.726152770056255,1.5719396638688359,0.3913330974196875,-0.6293963106202438,1.0877234608970454,0.4398990587122148,-0.5533119452068054
EXR,Real Estate,,0.03694248588808265,,-0.00459483237989574,,-0.00459483237989574,,,0.08179384843135648,0.057846206047961826,-0.02135,0.7105887083303404,,,-0.7467212755881008,0.8478347743898265,0.26532031001672285,0.7105887083303404,-1.5945560499779272,-0.26532031001672285,-0.40665099866237936,0.7079990887707676,0.22803960325308156,-0.5112423725070745,0.4249150230358776,0.30460263505493823,-0.5112423725070744
F,Consumer Cyclical,,0.05904617696802179,,0.017508858700043393,,0.017508858700043393,,,0.04631898718320115,0.05835074804943128,-0.01455,0.5756740513692833,,,-1.9771119756290187,0.9630697530702699,-0.30801260184706747,0.5756740513692833,-2.9401817286992884,0.30801260184706747,-0.8842005505625887,1.4396404671171878,0.3436721537172184,-0.5524426759088518,0.9174208698340014,0.4048920963573423,-0.4643716432202254
FANG,Energy,,0.09752871977214106,,0.055991401504162666,,0.055991401504162666,,,0.0821244446383514,0.9951456040739053,-0.03655,1.653167083132879,,,-1.1949926792155945,0.39768333146887264,2.606571803735193,1.653167083132879,-1.592676010684467,-2.606571803735193,-0.4971179317676738,1.613104213766626,0.41800189339239485,-0.8033520896803439,3.409985869582787,0.3553116395566534,-0.33165948322972816
FAST,Industrials,,0.037209303715468565,,-0.004328014552509828,,-0.004328014552509828,,,0.7252309364245607,0.08964917997176061,-0.0092,-0.1645525940851585,,,2.8098560754981436,1.0859844377581245,0.5021428464222648,-0.1645525940851585,1.7238716377400192,-0.5021428464222648,0.5232990481774913,1.0550397061000079,0.23173882598739856,-0.26869753217522463,0.8794205247787714,0.23668158726770744,-0.26869753217522474
FCX,Basic Materials,,0.03340869013112651,,-0.008128628136851883,,-0.008128628136851883,,,0.13783320314954975,0.033989201061590556,-0.02205,0.22534489559435567,,,-0.31328037492477206,0.9670978034250193,0.04676669457887097,0.22534489559435567,-1.2803781783497914,-0.04676669457887097,-0.43136665201794844,1.9092947750806335,0.4153558083477834,-0.6428345515391537,0.8185441631065125,0.4061162789738559,-0.445675649686178
FDS,Financial Services,,0.059215535561984195,,0.017678217294005802,,0.017678217294005802,,,0.21955032025322244,0.07403047898842018,-0.023475,0.13485701934239727,,,0.5886922050111396,-0.880381633707647,-0.10547494349850267,0.13485701934239727,1.4690738387187867,0.10547494349850267,0.6626673319241742,0.7630615128595615,0.23173720790353425,-0.46073759492297717,-0.1783092504316205,0.22749495379204834,-0.46073759492297717
FDX,Industrials,,0.06509214482954159,,0.0235548265615632,,0.0235548265615632,,,0.22290639328037581,0.01966301853282744,-0.031475,1.5366385254618722,,,-0.4304178834156364,-1.344430806928841,-0.4344281991730873,1.5366385254618722,0.9140129235132046,0.4344281991730873,1.0671462194246482,1.3389078077515608,0.32370343213921265,-0.523365953286935,0.003912002047061991,0.31797809093151636,-0.5177574068133924
FE,Utilities,,0.043137253467925386,,0.0015999351999469932,,0.0015999351999469932,,,0.18039952145128002,0.06289567041022325,-0.02815,-0.22332112412369137,,,2.456051768853188,-0.17019639968103703,-0.1010811937193613,-0.22332112412369137,2.626248168534225,0.1010811937193613,0.9813870565080858,0.40865989532797153,0.22758536853785294,-0.4535275464281119,1.1247591252089775,0.1836919538322281,-0.20882564233964107
