Date,SPY,MCK,AVGO,PWR,HYG
2023-04-01,402.5309753417969,359.81982421875,60.4470329284668,168.971435546875,64.39588928222656
2023-05-01,404.38916015625,386.0970458984375,77.95496368408203,176.9687042236328,63.61573791503906
2023-06-01,428.9998474121094,422.71844482421875,83.69284057617188,195.77369689941406,64.71976470947266
2023-07-01,444.6882019042969,398.0761413574219,87.1669921875,201.00843811035156,65.4019775390625
2023-08-01,437.4610595703125,407.8895263671875,89.51820373535156,209.23341369628906,65.56338500976562
2023-09-01,415.24566650390625,430.81103515625,80.56434631347656,186.50259399414062,64.51065826416016
2023-10-01,407.6640930175781,451.1304626464844,82.0554428100586,166.68365478515625,63.80180358886719
2023-11-01,444.9017639160156,466.1893005371094,90.2827377319336,187.81832885742188,66.91183471679688
2023-12-01,463.3353576660156,459.3032531738281,108.86339569091797,215.236572265625,68.76426696777344
2024-01-01,472.62310791015625,495.9201354980469,115.6098403930664,193.6238555908203,69.49993896484375
2024-02-01,497.2878112792969,517.2691650390625,127.41477966308594,240.9796142578125,69.3653564453125
2024-03-01,511.9594421386719,533.2178344726562,129.85629272460938,259.2294616699219,70.07144927978516
2024-04-01,492.8439025878906,533.575439453125,127.93576049804688,257.9922180175781,69.16508483886719
2024-05-01,517.7718505859375,565.7363891601562,130.71824645996094,275.4282531738281,70.28380584716797
2024-06-01,534.3152465820312,580.088623046875,157.97079467773438,253.6187286376953,70.66341400146484
2024-07-01,542.5299072265625,613.5133056640625,158.59776306152344,264.8877868652344,72.28136444091797
2024-08-01,555.2063598632812,557.8911743164062,160.7100372314453,274.717041015625,73.40298461914062
2024-09-01,565.1348266601562,492.23846435546875,170.26458740234375,297.70245361328125,74.68006896972656
2024-10-01,561.809814453125,498.3812561035156,168.12110900878906,301.17724609375,73.95545196533203
2024-11-01,595.3124389648438,625.7268676757812,160.50579833984375,344.106689453125,75.16154479980469
2024-12-01,579.0403442382812,567.3953247070312,229.5882568359375,315.6708679199219,74.22673797607422
