,sector,mcap,EP,FCP,EP_sn,FCP_sn,EP_use,FCP_use,ShYield,GPA,AssetGrowth,Accruals,EP_z,FCP_z,ShYield_z,GPA_z,Accruals_z,AssetGrowth_z,Value,Quality,Stability,Score2,beta_spy,downside_dev,max_dd_monthly,ret_5y,vol_5y,dd_5y
ORLY,Consumer Cyclical,,0.11188809269463294,,0.07035077442665455,,0.07035077442665455,,,0.5810131249164717,0.09917452582757587,-0.023925,2.3281631260919826,,,1.2895267022421248,-0.02334698949886142,-0.05287133753562852,2.3281631260919826,1.3128736917409862,0.05287133753562852,1.4669889946403132,0.8088268202383788,0.2030492956906591,-0.3251557477145436,2.2916326072548956,0.20988682777691745,-0.14671182072247557
TGT,Consumer Defensive,,0.09403770496368054,,0.052500386695702145,,0.052500386695702145,,,0.5097770213948319,0.033145816590767034,-0.0303249999999999,1.5814956197523844,,,1.4880083620707047,-0.8250031346481825,0.49131852304208956,1.5814956197523844,2.3130114967188873,-0.49131852304208956,1.459539141980091,1.053599284541065,0.28931715531174224,-0.6127732839618496,-0.4233681485179569,0.3114442730457609,-0.6127732839618492
XYZ,Technology,,0.11138274010562486,,0.06984542183764647,,0.06984542183764647,,,0.2565041095045961,-0.018329462587824197,-0.03075,2.7552699537997984,,,-0.6086752976918015,-0.9182623854274711,-1.0991121010533904,2.7552699537997984,0.30958708773566956,1.0991121010533904,1.4457652368248652,2.6890771608675568,0.5654564473570749,-0.8498526545294588,-0.6897516360197393,0.5633934149624801,-0.8498526545294589
PSA,Real Estate,,0.036827910266352994,,-0.0047094080016253995,,-0.0047094080016253995,,,0.1739765282973158,0.038036285443222774,-0.043375,0.7044605877973008,,,1.4344201907310188,-1.370943556082039,-0.11952023695864955,0.7044605877973008,2.805363746813058,0.11952023695864955,1.4278337812358735,0.5278514510942568,0.18959074699721346,-0.3301565930672786,0.5325690231938112,0.24590486192303868,-0.3301565930672786
IDXX,Healthcare,,0.016698425853852488,,-0.024838892414125905,,-0.024838892414125905,,,0.7536180236827125,-0.024619699683765137,-0.03965,-0.8600476878774199,,,2.48117080962436,-1.3780908908152147,-1.1293140023596926,-0.8600476878774199,3.859261700439575,1.1293140023596926,1.4255484054968006,1.2571287032229015,0.2905951919830885,-0.5198444081677885,0.5368345596834181,0.35239442327682663,-0.5198444081677889
STZ,Consumer Defensive,,0.054132392615750285,,0.012595074347771892,,0.012595074347771892,,,0.23061838323479988,-0.14571701566762982,-0.0762,0.3893069489839932,,,-0.7953919985123299,-2.804419092977693,-2.1692571929266133,0.3893069489839932,2.009027094465363,2.1692571929266133,1.3931850559650654,0.7885537921462076,0.2467419583199968,-0.5123402991478152,-0.326758724998515,0.21387655919851079,-0.5123402991478152
HCA,Healthcare,,0.04997797094500574,,0.008440652677027344,,0.008440652677027344,,,0.4989719100652103,0.03759215043831367,-0.0392,0.5957151347373182,,,1.3047162367329443,-1.3481830236468244,-0.31336526371748363,0.5957151347373182,2.652899260379769,0.31336526371748363,1.3621188107903317,1.472547462698093,0.28016523042226193,-0.3900655738024309,2.315894772444552,0.32862571028504595,-0.34243858112322034
BBY,Consumer Cyclical,,0.045931925295068246,,0.004394607027089853,,0.004394607027089853,,,0.6131315277618868,-0.023745519713261647,-0.0395,-0.04330662360412533,,,1.467211554495411,-1.553956877181267,-0.8042270065329284,-0.04330662360412533,3.021168431676678,0.8042270065329284,1.3519901245356067,1.4712510039785247,0.2957032420084614,-0.4606643195696486,-0.10759927040828754,0.3196693927817072,-0.4606643195696487
MTCH,Communication Services,,0.06419227467492385,,0.022654956406945453,,0.022654956406945453,,,0.5963459504535593,-0.1146992775574975,-0.030025,0.5793813674692215,,,2.0226145613369235,0.11154539798656109,-1.7496136175403603,0.5793813674692215,1.9110691633503625,1.7496136175403603,1.3461029358359058,0.9612292801618862,0.3735349614041522,-0.8138625496481853,-0.7583297910209589,0.4069040305761741,-0.8138625496481853
TROW,Financial Services,,0.08708357374917619,,0.0455462554811978,,0.0455462554811978,,,0.26217625167075576,0.09567755045913612,-0.022125,1.5254598482215385,,,1.0680746945112645,-0.768580985602408,0.1599194110382111,1.5254598482215385,1.8366556801136724,-0.1599194110382111,1.3128623291264423,1.3411291137135892,0.27576044606590716,-0.5598841288453427,-0.11417201459815218,0.28160685239900357,-0.5598841288453427
