,mcap,EP,FCP,ShYield,ROA,ROE,GPA,AssetGrowth,Accruals_est,Accruals_dolt,Accruals,ret_1y,vol_1y,dd_1y,ret_2y,vol_2y,dd_2y,ret_5y,vol_5y,dd_5y,downside_dev,beta_spy,max_dd_monthly,EP_z,FCP_z,ShYield_z,GPA_z,AssetGrowth_z,Accruals_z,Score
AVY,,,,,0.0841943219159833,,0.2956156191716747,0.03253717673712371,,-0.0146249999999999,-0.0146249999999999,-0.1367502555329697,0.15792134356477391,-0.12362298871047395,-0.07138203989014258,0.15088125685458165,-0.2673143611300042,0.26685136888324146,0.2303952800675657,-0.27362040158024636,0.20500824407864393,0.98506978575574,-0.2736204015802465,,,,0.13971866684285075,-0.2867013128472748,0.4889987041000075,-0.06257872440988194
AWK,,,,,0.03289568604818929,,0.09048591757853731,0.08643280474131027,,-0.0264499999999999,-0.0264499999999999,-0.06350803478450284,0.1931631182232987,-0.13603654119497322,-0.0051171768729515454,0.17752717511527263,-0.14386851788841937,-0.09987061056396562,0.21974617025305257,-0.35730817151307626,0.18965195299261076,0.47428239918672765,-0.35730817151307626,,,,-1.0061653799926358,0.046151053723758766,-0.2066041695520752,-0.8457122641643194
AXON,,,,,0.06281559721292916,,0.27837751431624974,0.6607807352025588,,-0.01255,-0.01255,0.11923449825859822,0.40091933851158,-0.19355083241798066,2.1500412884108346,0.5067589566168135,-0.19355083241798066,4.760998977810476,0.46449467544123796,-0.4991398987794854,0.34148466041330366,1.0164245858891858,-0.4991398987794854,,,,0.0434241312485492,3.5932489347309504,0.6110600963053354,-4.160884899787737
AXP,,,,,0.036227951153324285,,,0.08572876985074518,,-0.0037749999999999,-0.0037749999999999,0.19967035692771828,0.24912436548083405,-0.1579951985040039,1.166025472117246,0.2148116391017244,-0.1579951985040039,2.243645471560599,0.2612282104030056,-0.301946838531432,0.26537953301748735,1.2584838399025582,-0.340802340509498,,,,,0.0418030260979379,1.1272474296074153,-1.1690504557053532
AZN,,,,,0.0775900774497699,,0.4300987765181277,0.07745830937320299,,,,0.23430474450977634,0.19421974968900954,-0.08305999691532562,0.3201272997027531,0.21764049770568394,-0.25222562405293425,0.7300508272500985,0.20364258941133323,-0.25222562405293425,0.184247938929074,0.45136659948090696,-0.25222562405293425,,,,0.890960946115598,-0.00927425873058811,,0.900235204846186
AZO,,,,,0.09309514822816889,,0.37825317206104375,0.088468130802402,,-0.0208749999999999,-0.0208749999999999,0.12828355171556405,0.2240478738102048,-0.16644763528047635,0.3702053259070184,0.20242077481178286,-0.16644763528047635,2.143444658580293,0.22229822448987582,-0.16644763528047624,0.20363701944370813,0.6345645304255082,-0.3507868576712623,,,,0.6013439351000521,0.05872096191975305,0.12134390830080945,0.42127906487948963
BA,,,,,-0.07055303860835568,,0.03926322395402648,0.08688340807174888,,-0.0089,-0.0089,0.3159418414758699,0.2413873639000287,-0.14342930566655843,-0.11691059560593253,0.29393823787227363,-0.4271848559008592,-0.02923450935329408,0.3555055521012373,-0.5246545177025792,0.37242311133095257,1.4187282491052855,-0.7181927984686358,,,,-1.2923027214132716,0.0489339211004898,0.8257704970520671,-2.1670071395658286
BAC,,,,,0.00839479865177255,,,0.05621431088313184,,,,0.15387168717958266,0.2092567509941959,-0.13322530064778526,0.8335356385110533,0.1979344283396646,-0.15060174525106862,1.1483552697766726,0.27824775461510626,-0.4201511778331888,0.28623839480856755,1.450564743869764,-0.42015117783318845,,,,,-0.1404744216139739,,0.1404744216139739
BALL,,,,,0.030424492811119166,,0.13680077702841353,-0.018617161542112758,,-0.0143499999999999,-0.0143499999999999,-0.23099233875680703,0.17104534506083044,-0.17605216495183185,-0.12743829642797144,0.23772900863666643,-0.31036283176924573,-0.4798059238989374,0.2830046428160214,-0.49814803227809634,0.24118152781062366,0.7931856150534342,-0.49814803227809656,,,,-0.7474439068814184,-0.602623831744289,0.5051755151151722,-0.6499955902523016
BAX,,,,,-0.006539532528900514,,0.16218040671673276,-0.2001368197020371,,-0.047475,-0.047475,-0.45032285878421485,0.42494435922980484,-0.4656658399201057,-0.4716034749713418,0.34458965504557715,-0.5570538251511894,-0.7329029693636759,0.31053131766260744,-0.767322582836984,0.28649023707274673,0.6225637304214855,-0.7730112050718444,,,,-0.6056696413870926,-1.723665556928427,-1.4433949026205835,2.561390818161918
BBY,,,,,0.050865464768473874,,0.6131315277618868,-0.023745519713261647,,-0.0395,-0.0395,-0.047857740086905576,0.27591347964753804,-0.2570153824430109,0.2625818448697115,0.30287094375072965,-0.346385261786086,-0.07948248339943764,0.319183533292721,-0.4606642014110728,0.29520398331601566,1.4701714744969085,-0.4606642014110729,,,,1.91340824687084,-0.6342959026914576,-0.9742673831808065,3.521971532743104
BDX,,,,,0.02864630399421652,,0.17373938189047533,-0.012234176531970781,,-0.029775,-0.029775,-0.18426856979824646,0.2617375442510631,-0.2997757481365778,-0.2210997802568475,0.19881606324238177,-0.2997757481365779,-0.16287395624306122,0.18806805115310418,-0.36430829927177444,0.20806925823802128,0.5172044683057739,-0.36430829927177444,,,,-0.541099541852554,-0.5632033491357896,-0.4021965209172544,0.42430032820048996
BEN,,,,,0.0099724490229643,,0.21340917258194775,-0.02113072058553777,,-0.01285,-0.01285,0.06541611214882082,0.2903163497659252,-0.1422381139476514,0.02880740956864236,0.315994968562462,-0.3156084324578563,0.31901350831563957,0.3271923674083843,-0.33972740235250465,0.2824605272377108,1.361415458790551,-0.5566661428483575,,,,-0.3194983795556267,-0.6181472444421622,0.5934126661069739,-0.2947638012204384
BF-B,,,,,0.1033680342927128,,0.28536436007348437,-0.0041438147471054235,,,,-0.3276581625513727,0.2727226472905727,-0.2811402576779122,-0.5117315818299112,0.25528226226500295,-0.5381607742102699,-0.6261090072359536,0.2224435557404613,-0.637798355408665,0.22702523871178518,0.5940125327255397,-0.637798355408665,,,,0.08245365758596385,-0.5132383303350233,,0.5956919879209872
BG,,,,,0.05104649009075755,,0.11809594369327653,0.27533977402980186,,-0.00665,-0.00665,0.07640956462297654,0.24001366764077856,-0.03661831273490457,-0.09531316093902376,0.2507475779836647,-0.29347828979760204,0.8141241662034469,0.28099364669070703,-0.32324600577078944,0.24885418770452408,0.7663354660930672,-0.46839640489054124,,,,-0.8519317989369644,1.212815848585258,0.9581262235397784,-3.0228738710620005
BIIB,,,,,0.05430877403398335,,0.2675696246999356,0.056935319596628876,,-0.0223,-0.0223,-0.05721224031656347,0.21395352784345917,-0.20821342348378757,-0.35304168977789574,0.2216568319563391,-0.5320941107098106,-0.36944662698928277,0.30803403858852846,-0.6503306504385685,0.27104877286910045,0.32426064496850426,-0.6574726154175548,,,,-0.016950296223964555,-0.13602156587236935,0.03751861485858643,0.08155265478981837
BK,,,,,0.011254256363146378,,,0.1335747738245527,,-0.0293,-0.0293,0.34912855929334485,0.22017560657636867,-0.09040883669986388,1.3523403466601405,0.17641934664098882,-0.09040883669986377,2.1909928984860443,0.244322224065862,-0.3392109191019138,0.24251926207696103,1.102086029129072,-0.38119753860028405,,,,,0.3372937039765188,-0.37425475643651535,0.036961052459996535
